SITE_ID,SITE_NAME,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
ES-Amo,Amoladeras,Tier2,Tier2: 2007,Tier2: 2012,36.8336,-2.2523,58,OSH,,0
ES-LgS,Laguna Seca,"Tier1,",Tier1: 2007,Tier1: 2009,37.0979,-2.9658,2267,OSH,,
,,Tier2,Tier2: 2007,Tier2: 2009,,,,,,
ES-LJu,Llano de los Juanes,Tier2,Tier2: 2004,Tier2: 2013,36.9266,-2.7521,1600,OSH,16,400
ES-Ln2,Lanjaron-Salvage logging,"Tier1,",Tier1: 2009,Tier1: 2009,36.9695,-3.4758,2249,OSH,,
,,Tier2,Tier2: 2009,Tier2: 2009,,,,,,
FI-Hyy,Hyytiala,"Tier1,",Tier1: 1996,Tier1: 2014,61.8474,24.2948,181,ENF,3.8,709
,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
FI-Jok,Jokioinen,"Tier1,",Tier1: 2000,Tier1: 2003,60.8986,23.5135,109,CRO,4.6,627
,,Tier2,Tier2: 2000,Tier2: 2003,,,,,,
FI-Let,Lettosuo,Tier2,Tier2: 2009,Tier2: 2012,60.6418,23.9595,119,ENF,,
FI-Lom,Lompolojankka,"Tier1,",Tier1: 2007,Tier1: 2009,67.9972,24.2092,274,WET,-1.4,484
,,Tier2,Tier2: 2007,Tier2: 2009,,,,,,
FI-Sod,Sodankyla,"Tier1,",Tier1: 2001,Tier1: 2014,67.3624,26.6386,180,ENF,-1,500
,,Tier2,Tier2: 2001,Tier2: 2014,,,,,,
FR-Fon,Fontainebleau-Barbeau,"Tier1,",Tier1: 2005,Tier1: 2014,48.4764,2.7801,103,DBF,10.2,720
,,Tier2,Tier2: 2005,Tier2: 2014,,,,,,
FR-Gri,Grignon,"Tier1,",Tier1: 2004,Tier1: 2013,48.8442,1.9519,125,CRO,12,650
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
FR-LBr,Le Bray,"Tier1,",Tier1: 1996,Tier1: 2008,44.7171,-0.7693,61,ENF,13.6,900
,,Tier2,Tier2: 1996,Tier2: 2008,,,,,,
FR-Pue,Puechabon,"Tier1,",Tier1: 2000,Tier1: 2014,43.7413,3.5957,270,EBF,13.5,883
,,Tier2,Tier2: 2000,Tier2: 2014,,,,,,
GF-Guy,Guyaflux (French Guiana),"Tier1,",Tier1: 2004,Tier1: 2014,5.2788,-52.9249,48,EBF,25.7,3041
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
GH-Ank,Ankasa,Tier2,Tier2: 2011,Tier2: 2014,5.2685,-2.6942,124,EBF,26,1900
IT-BCi,Borgo Cioffi,"Tier1,",Tier1: 2004,Tier1: 2014,40.5238,14.9574,20,CRO,18,600
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
IT-CA1,Castel d'Asso1,"Tier1,",Tier1: 2011,Tier1: 2014,42.3804,12.0266,200,DBF,14,766
,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
IT-CA2,Castel d'Asso2,"Tier1,",Tier1: 2011,Tier1: 2014,42.3772,12.026,200,CRO,14,766
,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
IT-CA3,Castel d'Asso 3,"Tier1,",Tier1: 2011,Tier1: 2014,42.38,12.0222,197,DBF,14,766
,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
IT-Col,Collelongo,"Tier1,",Tier1: 1996,Tier1: 2014,41.8494,13.5881,1560,DBF,6.3,1180
,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
IT-Cp2,Castelporziano2,"Tier1,",Tier1: 2012,Tier1: 2014,41.7043,12.3573,19,EBF,15.2,805
,,Tier2,Tier2: 2012,Tier2: 2014,,,,,,
IT-Cpz,Castelporziano,"Tier1,",Tier1: 1997,Tier1: 2009,41.7053,12.3761,68,EBF,15.6,780
,,Tier2,Tier2: 1997,Tier2: 2009,,,,,,
IT-Isp,Ispra ABC-IS,"Tier1,",Tier1: 2013,Tier1: 2014,45.8126,8.6336,210,DBF,12.2,1300
,,Tier2,Tier2: 2013,Tier2: 2014,,,,,,
IT-La2,Lavarone2,"Tier1,",Tier1: 2000,Tier1: 2002,45.9542,11.2853,1350,ENF,7.2,1150
,,Tier2,Tier2: 2000,Tier2: 2002,,,,,,
IT-Lav,Lavarone,"Tier1,",Tier1: 2003,Tier1: 2014,45.9562,11.2813,1353,ENF,7.8,1291
,,Tier2,Tier2: 2003,Tier2: 2014,,,,,,
IT-MBo,Monte Bondone,"Tier1,",Tier1: 2003,Tier1: 2013,46.0147,11.0458,1550,GRA,5.1,1214
,,Tier2,Tier2: 2003,Tier2: 2013,,,,,,
IT-Noe,Arca di Noe - Le Prigionette,"Tier1,",Tier1: 2004,Tier1: 2014,40.6062,8.1512,25,CSH,15.9,588
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
IT-PT1,Parco Ticino forest,"Tier1,",Tier1: 2002,Tier1: 2004,45.2009,9.061,60,DBF,12.7,984
,,Tier2,Tier2: 2002,Tier2: 2004,,,,,,
IT-Ren,Renon,"Tier1,",Tier1: 1998,Tier1: 2013,46.5869,11.4337,1730,ENF,4.7,809
,,Tier2,Tier2: 1998,Tier2: 2013,,,,,,
IT-Ro1,Roccarespampani 1,"Tier1,",Tier1: 2000,Tier1: 2008,42.4081,11.93,235,DBF,15.15,876
,,Tier2,Tier2: 2000,Tier2: 2008,,,,,,
IT-Ro2,Roccarespampani 2,"Tier1,",Tier1: 2002,Tier1: 2012,42.3903,11.9209,160,DBF,15.15,876
,,Tier2,Tier2: 2002,Tier2: 2012,,,,,,
IT-SR2,San Rossore 2,"Tier1,",Tier1: 2013,Tier1: 2014,43.732,10.291,4,ENF,14.2,920
,,Tier2,Tier2: 2013,Tier2: 2014,,,,,,
IT-SRo,San Rossore,"Tier1,",Tier1: 1999,Tier1: 2012,43.7279,10.2844,6,ENF,14.2,920
,,Tier2,Tier2: 1999,Tier2: 2012,,,,,,
IT-Tor,Torgnon,"Tier1,",Tier1: 2008,Tier1: 2014,45.8444,7.5781,2160,GRA,2.9,920
,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
JP-MBF,Moshiri Birch Forest Site,"Tier1,",Tier1: 2003,Tier1: 2005,44.3869,142.3186,,DBF,,
,,Tier2,Tier2: 2003,Tier2: 2005,,,,,,
JP-SMF,Seto Mixed Forest Site,"Tier1,",Tier1: 2002,Tier1: 2006,35.2617,137.0788,,MF,,
,,Tier2,Tier2: 2002,Tier2: 2006,,,,,,
MY-PSO,Pasoh Forest Reserve (PSO),Tier2,Tier2: 2003,Tier2: 2009,2.973,102.3062,,EBF,,
NL-Hor,Horstermeer,"Tier1,",Tier1: 2004,Tier1: 2011,52.2404,5.0713,2.2,GRA,10,800
,,Tier2,Tier2: 2004,Tier2: 2011,,,,,,
